CustomerId,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Bank DOJ,Surname,Geography,Gender,Complain,Satisfaction Score,Card Type,Point Earned
15634602,619,42,7,0,1,1,1,101348.88,1,23-03-16,Hargrave,France,Female,1,2,DIAMOND,464
15647311,608,41,4,83807.86,1,0,1,112542.58,0,09-10-18,Hill,Spain,Female,1,3,DIAMOND,456
15619304,502,42,4,159660.8,3,1,0,113931.57,1,25-03-19,Onio,France,Female,1,3,DIAMOND,377
15701354,699,39,3,0,2,0,0,93826.63,0,24-10-19,Boni,France,Female,0,5,GOLD,350
15737888,850,43,3,125510.82,1,1,1,79084.1,0,22-11-19,Mitchell,Spain,Female,0,5,GOLD,425
15574012,645,44,4,113755.78,2,1,0,149756.71,1,21-12-18,Chu,Spain,Male,1,5,DIAMOND,484
15592531,822,50,6,0,2,1,1,10062.8,0,28-09-16,Bartlett,France,Male,0,2,SILVER,206
15656148,376,29,5,115046.74,4,1,0,119346.88,1,20-04-18,Obinna,Germany,Female,1,2,DIAMOND,282
15792365,501,44,5,142051.07,2,0,1,74940.5,0,04-02-18,He,France,Male,0,3,GOLD,251
15592389,684,27,5,134603.88,1,1,1,71725.73,0,27-05-18,H?,France,Male,0,3,GOLD,342
15767821,528,31,7,102016.72,2,0,0,80181.12,0,27-07-16,Bearce,France,Male,0,3,GOLD,264
15737173,497,24,7,0,2,1,0,76390.01,0,12-09-16,Andrews,Spain,Male,0,3,GOLD,249
15632264,476,34,3,0,2,1,0,26260.98,0,04-11-19,Kay,France,Female,0,3,SILVER,119
15691483,549,25,6,0,2,0,0,190857.79,0,21-12-16,Chin,France,Female,0,3,PLATINUM,549
15600882,635,35,6,0,2,1,1,65951.65,0,22-03-17,Scott,Spain,Female,0,2,GOLD,318
15643966,616,45,4,143129.41,2,0,1,64327.26,0,18-01-19,Goforth,Germany,Male,0,5,GOLD,308
15737452,653,58,4,132602.88,1,1,0,5097.67,1,08-10-18,Romeo,Germany,Male,0,2,SILVER,163
15788218,549,24,3,0,2,1,1,14406.41,0,09-10-19,Henderson,Spain,Female,0,3,SILVER,544
15661507,587,45,3,0,1,0,0,158684.81,0,20-10-19,Muldrow,Spain,Male,0,3,PLATINUM,732
15568982,726,24,5,0,2,1,1,54724.03,0,15-03-18,Hao,France,Female,0,4,GOLD,477
15577657,732,41,5,0,2,1,1,170886.17,0,30-12-17,McDonald,France,Male,0,3,PLATINUM,568
15597945,636,32,5,0,2,1,0,138555.46,0,05-03-18,Dellucci,Spain,Female,0,2,DIAMOND,336
15699309,510,38,4,0,1,1,0,118913.53,1,03-04-19,Gerasimov,Spain,Female,1,2,DIAMOND,887
15725737,669,46,3,0,2,0,1,8487.75,0,26-09-19,Mosman,France,Male,0,2,SILVER,665
15625047,846,38,5,0,1,1,1,187616.16,0,08-11-17,Yen,France,Female,0,3,PLATINUM,225
15738191,577,25,6,0,2,0,1,124508.29,0,23-11-16,Maclean,France,Male,0,3,PLATINUM,659
15736816,756,36,4,136815.64,1,1,1,170041.95,0,26-10-18,Young,Germany,Male,0,5,DIAMOND,236
15700772,571,44,4,0,2,0,0,38433.35,0,02-12-18,Nebechi,France,Male,0,4,PLATINUM,448
15728693,574,43,5,141349.43,1,1,1,100187.43,0,26-06-18,McWilliams,Germany,Female,0,5,DIAMOND,499
15656300,411,29,4,59697.17,2,1,1,53483.21,0,22-08-19,Lucciano,France,Male,0,2,GOLD,343
15589475,591,39,5,0,3,1,0,140469.38,1,12-11-17,Azikiwe,Spain,Female,1,3,DIAMOND,298
15706552,533,36,4,85311.7,1,0,1,156731.91,0,26-08-19,Odinakachukwu,France,Male,0,5,SILVER,628
15750181,553,41,5,110112.54,2,0,0,81898.81,0,03-09-18,Sanderson,Germany,Male,0,3,GOLD,611
15659428,520,42,4,0,2,1,1,34410.55,0,28-08-19,Maggard,Spain,Female,0,2,SILVER,922
15732963,722,29,6,0,2,1,1,142033.07,0,31-01-17,Clements,Spain,Female,0,5,PLATINUM,276
15794171,475,45,5,134264.04,1,1,0,27822.99,1,23-09-17,Lombardo,France,Female,1,1,DIAMOND,877
15788448,490,31,7,145260.23,1,0,1,114066.77,0,09-04-16,Watson,Spain,Male,0,4,SILVER,471
15729599,804,33,4,76548.6,1,0,1,98453.45,0,18-01-19,Lorenzo,Spain,Male,0,2,GOLD,994
15717426,850,36,5,0,1,1,1,40812.9,0,11-03-18,Armstrong,France,Male,0,3,GOLD,944
15585768,582,41,6,70349.48,2,0,1,178074.04,0,22-11-16,Cameron,Germany,Male,0,5,GOLD,419
15619360,472,40,5,0,1,1,0,70154.22,0,11-05-18,Hsiao,Spain,Male,0,4,DIAMOND,545
15738148,465,51,6,122522.32,1,0,0,181297.65,1,09-11-16,Clarke,France,Female,1,5,SILVER,828
15687946,556,61,5,117419.35,1,1,1,94153.83,0,08-03-18,Osborne,France,Female,0,3,PLATINUM,789
15755196,834,49,6,131394.56,1,0,0,194365.76,1,01-05-17,Lavine,France,Female,1,2,GOLD,567
15684171,660,61,7,155931.11,1,1,1,158338.39,0,17-09-16,Bianchi,Spain,Female,0,1,PLATINUM,884
15754849,776,32,6,109421.13,2,1,1,126517.46,0,14-12-16,Tyler,Germany,Female,0,1,SILVER,296
15602280,829,27,5,112045.67,1,1,1,119708.21,1,29-05-18,Martin,Germany,Female,1,3,DIAMOND,779
15771573,637,39,7,137843.8,1,1,1,117622.8,1,25-03-16,Okagbue,Germany,Female,1,1,SILVER,730
15766205,550,38,4,103391.38,1,0,1,90878.13,0,30-11-18,Yin,Germany,Male,0,3,DIAMOND,960
